City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
0,Labuhan,ID,79.3,overcast clouds,-6.8844,112.2051,DoubleFAG
2,Honiara,SB,76.96,few clouds,-9.4333,159.95,Heritage Park Hotel
6,Bengkulu,ID,76.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
7,Marrakesh,MA,77.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
8,Hithadhoo,MV,81.54,overcast clouds,-0.6,73.0833,Scoop Guest House
9,Mahebourg,MU,74.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
12,Alyangula,AU,80.35,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
13,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
15,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
18,Russell,US,79.88,clear sky,32.3502,-85.1999,Macs
20,Vaini,TO,76.21,light rain,-21.2,-175.2,Keleti Beach Resort
23,Garden City,US,71.15,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
24,Catuday,PH,79.07,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
28,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
36,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
39,Chambersburg,US,70.77,clear sky,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
41,Kapaa,US,81.1,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Santa Cruz Del Sur,CU,84.43,moderate rain,20.7147,-77.9956,
46,Cape Town,ZA,72.01,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
47,Labuhan,ID,79.3,overcast clouds,-6.8844,112.2051,DoubleFAG
49,Honiara,SB,76.96,few clouds,-9.4333,159.95,Heritage Park Hotel
53,Bengkulu,ID,76.48,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
54,Marrakesh,MA,77.07,scattered clouds,31.6315,-8.0083,Les Jardins de La Koutoubia
55,Hithadhoo,MV,81.54,overcast clouds,-0.6,73.0833,Scoop Guest House
56,Mahebourg,MU,74.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
59,Alyangula,AU,80.35,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
60,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
62,Comodoro Rivadavia,AR,71.46,clear sky,-45.8667,-67.5,Austral Hotel
65,Russell,US,79.88,clear sky,32.3502,-85.1999,Macs
67,Vaini,TO,76.21,light rain,-21.2,-175.2,Keleti Beach Resort
70,Garden City,US,71.15,scattered clouds,42.3256,-83.331,Big Trees Mobile Home Community
71,Catuday,PH,79.07,clear sky,16.2923,119.8062,Benjie's Kubo & Cottages
75,Georgetown,MY,78.89,few clouds,5.4112,100.3354,Cititel Penang
83,Pitimbu,BR,82.99,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
86,Chambersburg,US,70.77,clear sky,39.9376,-77.6611,"Holiday Inn Express & Suites Chambersburg, an IHG Hotel"
88,Kapaa,US,81.1,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
89,Santa Cruz Del Sur,CU,84.43,moderate rain,20.7147,-77.9956,
93,Cape Town,ZA,72.01,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
94,Pachora,IN,72.86,clear sky,20.6667,75.35,Vishal Avinash patil
96,Bethel,US,70.65,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
104,Westport,US,70.63,clear sky,41.1415,-73.3579,The Westport Inn
106,Karratha,AU,75.42,clear sky,-20.7377,116.8463,ibis Styles Karratha
109,Jacareacanga,BR,90.66,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
111,Lhokseumawe,ID,75.15,overcast clouds,5.1801,97.1507,OYO 3278 Penginapan Alfajri
117,Vasai,IN,78.89,clear sky,19.47,72.8,Jivdani Kripa
118,Puerto Colombia,CO,77.09,moderate rain,10.9878,-74.9547,Hotel El Emigrante
120,Mbini,GQ,78.35,overcast clouds,1.574,9.6134,Candy Vista Mar Mbini
